Experiment,Subject,ID,Procedure[Block],Trial,Prime[Trial],PrimeCondition,Stimuli1,Target[Trial],TargetDefinition.RESP[Trial],ResponseRT,State,StateRT,TargetResponse.RESP[Trial],TargetResponse.RT[Trial],TargetAccuracy,PrimeIntrusion,PrimeResponse,PrimeResponseRT,PrimeResp_ACC,RTRecognisePrime,RTRecogniseTarget,PrimeDef.RESP,PrimeFirstResp_ACC,PrimeDef.RT
PrimeFlash,1PrimeFlash,1,S1,54,C o b a i n ,P,20,C o n n e r y,{SHIFT}Corbain{SPACE},5229,2,1500,{SHIFT}Connery{SPACE},2109,0,1,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,32,c o n v e n i e n t ,P,21,c o v e n a n t ,covenant{SPACE},4203,1,1014,covenant{SPACE},1406,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,36,d a w n ,P,22,D a n t e,{SHIFT}Dante{SPACE},3061,1,577,{SHIFT}Dante{SPACE},985,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,42,d i f f i c u l t,P,23,d e f a u l t,indebted{SPACE},8445,3,1171,default{SPACE},1324,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,4,d e p t h,P,24,d e p l e t e,{SPACE},6735,3,5021,deplete{SPACE},1748,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,46,d i g e s t ,P,25,d i v e r g e,{SPACE},6551,2,2237,diverge{SPACE},1158,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,75,e c s t a t i c ,P,26,e c c e n t r i c,idiosyncratic{SPACE},7800,3,504,eccentric{SPACE},1307,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,50,e x e r c i s e ,P,27,e x o r c i s m ,purging{SPACE},9408,3,1611,exorcism{SPACE},1489,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,37,F a h r e n h e i t ,P,28,F a r a d a y,{SHIFT}{SHIFT}Rutherford,9727,2,1730,{SHIFT}Faraday{SPACE},1780,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,31,f o l d i n g,P,29,f o l i a g e,leaves{SPACE},4606,3,569,foliage{SPACE},1098,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,66,g a r n i s h,P,30,G a r l a n d,{SHIFT}Garland{SPACE},3331,1,852,{SHIFT}Garland{SPACE},1462,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,27,g o b l i n ,P,31,g o s l i n g,gosling{SPACE},3261,1,625,gosling{SPACE},1126,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,43,h a n d l e ,P,32,H a n c o c k,{SHIFT}Jefferson{SPACE},5923,3,1893,{SHIFT}Hancock{SPACE},1442,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,24,h a n d k e r c h i e f ,P,33,H e l s i n k i ,{SHIFT}Helsinki{SPACE},4564,1,2240,{SHIFT}Helsinki{SPACE},1641,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,10,h o l l y,P,34,h o i s t,lift{SPACE},7514,3,3127,hoist{SPACE},1378,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,74,h y m n ,P,35,H u s s e i n,{SHIFT}{SHIFT}Hussein{SPACE},4230,1,704,{SHIFT}Hussein{SPACE},1446,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,70,i d i o t,P,36,i d i o s y n c r a s y ,feature{SPACE},7287,3,701,idiosyncracy{SPACE},2651,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,49,i n t e r f e r e,B,37,i n t e r j e c t,interfere{SPACE},5958,1,2262,interject{SPACE},1638,0,1,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,35,J a c k s o n,B,38,J a g g e r ,{SHIFT}Mc{SHIFT}Cartney{SPACE},7214,2,1096,{SHIFT}Jagger{SPACE},1359,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,44,l i t i g a t e ,B,39,l i b e l,perjury{SPACE},8789,3,651,libel{SPACE},965,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,38,l a c o n i c,B,40,l o q u a c i o u s ,loquacious{SPACE},4072,1,584,loquacious{SPACE},2598,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,76,M e n d e l ,B,41,M a n d e l a,{SHIFT}Mandela{SPACE},3346,1,658,{SHIFT}mandela{SPACE},1518,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,68,m i n i m u m,B,42,m e a g e r ,sparse{SPACE},5969,3,1041,meager{SPACE},1199,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,45,M c C a r t n e y,B,43,M e r c u r y,{SHIFT}Mc{SHIFT}Cartney{SPACE},7836,3,571,{SHIFT}Mercury{SPACE},1678,0,1,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,28,M e l v i l l e ,B,44,M i l l e r ,{SHIFT}Melville{SPACE},4086,2,2566,{SHIFT}Miller{SPACE},1485,0,1,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,23,m a s h ,B,45,m i n c e,ch,9732,3,2791,mince{SPACE},1091,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,18,m o n o g a m y ,B,46,m o n o t o n y ,bo,9873,3,3140,monotony{SPACE},3201,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,15,M a d o n n a,B,47,M o n r o e ,{SPACE},6893,2,1525,{SHIFT}Monroe{SPACE},1474,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,59,N i l e ,B,48,N a i r o b i,{SHIFT}Nairobi{SPACE},3147,1,803,{SHIFT}Nairobi{SPACE},1577,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,17,n e u t r a l i z e ,B,49,n u l l i f y,annulment{SPACE},9104,1,1528,nullify{SPACE},1722,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,65,N a z i s,B,50,N u r e m b e r g,{SHIFT}Hamburg{SPACE},6832,2,346,{SHIFT}Nurenburg{SPACE},2160,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,41,o p a q u e ,B,51,o b s c u r e,unseen{SPACE},6517,3,1389,obscure{SPACE},1300,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,64,o m n i s c i e n t ,B,52,o m n i p o t e n t ,omnipotent{SPACE},7081,2,1256,omnipotent{SPACE},2128,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,52,o b v i o u s,B,53,o s t e n t a t i o u s ,ostentatious{SPACE},5520,1,550,ostentatious{SPACE},2397,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,40,O s a m a,B,54,O s w a l d ,{SPACE},5441,2,614,{SHIFT}Oswald{SPACE},1310,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,73,a b d o m e n,U,55,O t t a w a ,{SHIFT}Quebec{SPACE},4711,3,1884,{SHIFT}Ottawa{SPACE},1428,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,69,a b o r t i o n ,U,56,p a n a c e a,panacea{SPACE},8620,3,1753,panacea{SPACE},1695,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,7,a b s o l v e,U,57,p a r a g o n,exemplar{SPACE},3966,1,900,paragon{SPACE},2137,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,21,a d v e r b ,U,58,p o l y g a m y ,polygamy{SPACE},4048,1,833,polygamy{SPACE},1670,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,25,a l c h e m y,U,59,p r e c o c i o u s ,prodigious,7747,3,1222,precocious{SPACE},2863,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,3,a n a e r o b i c,U,60,p r o p h e c y ,foreshadowing,7099,3,6750,prophecy{SPACE},4461,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,11,c o m p a t i b l e ,U,61,S e o u l,{SHIFT}Seoul{SPACE},3735,1,743,{SHIFT}Seoul{SPACE},1137,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,13,C r u i s e ,U,62,S h a w ,{SPACE},3333,2,1366,{SHIFT}Shaw{SPACE},1290,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,72,c o n t r a c t ,U,63,S i c i l y ,{SHIFT}Sicily{SPACE},5299,1,1567,{SHIFT}Sicily{SPACE},1227,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,67,D e v i l,U,64,S k y w a l k e r,{SHIFT}Skywalker{SPACE},5926,2,1048,{SHIFT}Skywalker{SPACE},1924,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,2,d e f e c t ,U,65,s u r r o g a t e,surrogate{SPACE},4517,1,976,surrogate{SPACE},2016,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,51,d e l e t e ,U,66,T h o r e a u,{SHIFT}Thoreau{SPACE},5585,1,1393,{SHIFT}Thoreau{SPACE},1471,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,56,m e n t i o n,U,67,t i c,tic{SPACE},5831,1,668,tic{SPACE},672,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,6,T y l e r,U,68,t s u n a m i,tsunami{SPACE},4124,1,954,tsunami{SPACE},1787,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,30,p e r j u r y,U,69,T u r i n g ,{SHIFT}{SPACE},6560,2,1078,{SHIFT}Turing{SPACE},1235,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,16,v e r b o s e,U,70,W a t s o n ,{SPACE},5539,2,373,{SHIFT}Watson{SPACE},1371,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,26,G a n d h i ,U,71,W a y n e,{SPACE},3141,2,1069,{SHIFT}Wayne{SPACE},1133,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,19,s p a r s e ,U,72,Y e l l o w s t o n e,{SHIFT}Yellowstone{SPACE},6121,1,642,{SHIFT}Yellowstone{SPACE},1913,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,55,r e s i g n ,R,1,a b d i c a t e ,t,9934,4,2994,abdicate{SPACE},2381,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,32,n a t i v e ,R,2,a b o r i g i n e,aboriginal{SPACE},7626,1,1363,aborigine{SPACE},7407,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,75,r e f u s e ,R,3,a b s t a i n,absta,9953,4,2246,abstain{SPACE},2619,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,64,c o n d o n e,R,4,a d v o c a t e ,advocate{SPACE},5194,1,986,advocate{SPACE},2095,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,8,B r o n t e ,R,5,A l c o t t ,{SHIFT}Bronte{SPACE},6901,1,9500,{SHIFT}Alcott{SPACE},1942,0,1,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,22,m i s p l a c e ,R,6,a n a c h r o n i s m,,0,2,1297,anachronism{SPACE},4640,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,52,p u z z l e ,R,7,a n a g r a m,anagram{SPACE},6472,1,2469,anagram{SPACE},1887,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,12,H i m a l a y a s,R,8,A n d e s,,0,3,8428,{SHIFT}Andes{SPACE},1730,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,40,C i n d e r e l l a ,R,9,A u r o r a ,{SHIFT}Aurora{SPACE},6302,1,1086,{SHIFT}Aurora{SPACE},3810,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,19,V i e t n a m,R,10,B a n g k o k,{SPACE},2657,1,1530,{SHIFT}Bangkok{SPACE},10204,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,63,t a r i f f ,R,11,b a r t e r ,barter{SPACE},9300,1,1861,barter{SPACE},1635,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,42,M e s s i,R,12,B e c k h a m,,0,2,774,{SHIFT}Beckham{SPACE},2713,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,23,e q u a t i o n ,R,13,b i n o m i a l ,equation{SPACE},3724,1,1196,binomial{SPACE},2830,0,1,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,44,s k e l e t o n ,R,14,c a r c a s s,fossil{SPACE},7505,3,1629,carcass{SPACE},2869,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,35,R o w l i n g,R,15,C a r r o l l,,0,2,1936,{SHIFT}Carroll{SPACE},2253,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,61,g e c k o,R,16,c h a m e l e o n,chameleon{SPACE},6792,1,851,chameleon{SPACE},4665,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,41,T h a t c h e r ,R,17,C h u r c h i l l,{SHIFT}Churchill{SPACE},7759,1,1042,{SHIFT}Churchill{SPACE},2962,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,69,S a w y e r ,R,18,C l e m e n s,{SHIFT}Clemens{SPACE},4248,1,1057,{SHIFT}Clemens{SPACE},1737,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,72,C o n g r e s s ,P,19,c o n g r u e n t,,0,2,966,congruent{SPACE},2098,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,66,C o b a i n ,P,20,C o n n e r y,{SPACE},5485,2,431,{SHIFT}Connery{SPACE},2316,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,34,c o n v e n i e n t ,P,21,c o v e n a n t ,covenant{SPACE},3641,1,974,covenant{SPACE},2253,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,30,d a w n ,P,22,D a n t e,{SHIFT}Dante{SPACE},4015,1,1087,{SHIFT}Dante{SPACE},1325,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,28,d i f f i c u l t,P,23,d e f a u l t,default{SPACE},6401,1,975,default{SPACE},1677,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,24,d e p t h,P,24,d e p l e t e,exhaus,9875,3,5511,deplete{SPACE},2284,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,51,d i g e s t ,P,25,d i v e r g e,,0,4,1039,diverge{SPACE},3254,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,38,e c s t a t i c ,P,26,e c c e n t r i c,,0,3,7726,eccentric{SPACE},3790,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,9,e x e r c i s e ,P,27,e x o r c i s m ,exorcise{SPACE},9509,1,1114,exorcism{SPACE},4753,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,14,F a h r e n h e i t ,P,28,F a r a d a y,,0,4,2918,{SHIFT}Faraday{SPACE},6626,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,25,f o l d i n g,P,29,f o l i a g e,foliage{SPACE},8139,1,1595,foliage{SPACE},2139,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,54,g a r n i s h,P,30,G a r l a n d,{SHIFT}Garland{SPACE},5475,1,837,{SHIFT}Garland{SPACE},2171,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,46,g o b l i n ,P,31,g o s l i n g,gosling{SPACE},4212,1,735,gosling{SPACE},2073,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,26,h a n d l e ,P,32,H a n c o c k,{SHIFT}Franklin,9998,4,2418,{SHIFT}Hancock{SPACE},2678,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,31,h a n d k e r c h i e f ,P,33,H e l s i n k i ,{SPACE},4676,2,685,{SHIFT}Helsinki{SPACE},2820,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,48,h o l l y,P,34,h o i s t,hoist{SPACE},5521,1,1201,hoist{SPACE},2623,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,74,h y m n ,P,35,H u s s e i n,,0,4,1714,{SHIFT}Hussein{SPACE},3260,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,36,i d i o t,P,36,i d i o s y n c r a s y ,,0,4,1472,idiocyncracy{SPACE},5249,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,70,i n t e r f e r e,B,37,i n t e r j e c t,,0,2,1394,interject{SPACE},2435,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,16,J a c k s o n,B,38,J a g g e r ,{SHIFT}Jagger{SPACE},8609,1,892,{SHIFT}Jagger{SPACE},1560,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,2,l i t i g a t e ,B,39,l i b e l,,0,2,2068,libel{SPACE},1638,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,53,l a c o n i c,B,40,l o q u a c i o u s ,,0,3,3874,loquacious{SPACE},4750,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,73,M e n d e l ,B,41,M a n d e l a,{SHIFT}Mandela{SPACE},3609,1,829,{SHIFT}Mandela{SPACE},1974,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,18,m i n i m u m,B,42,m e a g e r ,,0,2,3258,meager{SPACE},1752,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,57,M c C a r t n e y,B,43,M e r c u r y,{SPACE},5493,2,472,{SHIFT}Mercury{SPACE},2609,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,17,M e l v i l l e ,B,44,M i l l e r ,{SPACE},8840,4,2857,{SHIFT}Miller{SPACE},1744,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,47,m a s h ,B,45,m i n c e,mince{SPACE},8066,1,1271,mince{SPACE},1168,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,4,m o n o g a m y ,B,46,m o n o t o n y ,,0,4,5898,monotony{SPACE},3441,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,5,M a d o n n a,B,47,M o n r o e ,{SHIFT}Monrow{SPACE},8574,1,3113,{SHIFT}Monroe{SPACE},2562,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,6,N i l e ,B,48,N a i r o b i,{SHIFT}Nairobi{SPACE},6339,1,1186,{SHIFT}Nairobi{SPACE},4677,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,10,n e u t r a l i z e ,B,49,n u l l i f y,annull,5751,4,3031,nullify{SPACE},2236,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,29,N a z i s,B,50,N u r e m b e r g,,0,3,3607,{SHIFT}Nuremburg{SPACE},5795,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,13,o p a q u e ,B,51,o b s c u r e,,7897,4,2236,obscure{SPACE},3945,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,43,o m n i s c i e n t ,B,52,o m n i p o t e n t ,omnipotent{ENTER}{SPACE},8963,1,1185,omnipotent{SPACE},3312,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,21,o b v i o u s,B,53,o s t e n t a t i o u s ,,0,2,2991,ostentatious{SPACE},5429,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,37,O s a m a,B,54,O s w a l d ,{SPACE},4093,2,668,{SHIFT}Oswald{SPACE},2268,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,59,a n a c o n d a ,U,55,O t t a w a ,{SHIFT}Quebec{SPACE},5147,1,1196,{SHIFT}Owtawa{SPACE},9580,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,65,a n d r o i d,U,56,p a n a c e a,,0,2,935,panacea{SPACE},6630,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,68,A u s t r a l i a,U,57,p a r a g o n,,0,2,1444,paragon{SPACE},2100,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,27,b a n i s t e r ,U,58,p o l y g a m y ,polya,8790,4,1910,polygamy{SPACE},3296,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,15,b a r t e n d e r,U,59,p r e c o c i o u s ,,0,2,1961,precocious{SPACE},4811,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,71,B e c k e t t,U,60,p r o p h e c y ,premonition{SPACE},9707,3,1739,prophesy{SPACE},3080,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,45,d i f f e r ,U,61,S e o u l,{SHIFT}Seoul{SPACE},6794,1,984,{SHIFT}Seoul{SPACE},1777,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,3,e r r a t i c,U,62,S h a w ,,0,2,13635,{SHIFT}Shaw{SPACE},1991,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,76,e x i l e,U,63,S i c i l y ,{SHIFT}Sicily{SPACE},8025,1,944,{SHIFT}Sicily{SPACE},2016,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,60,F e y n m a n,U,64,S k y w a l k e r,{SHIFT}{SHIFT}Skywalker{SPACE},5265,1,670,{SHIFT}{SHIFT}Skywalker{SPACE},4170,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,56,f o r e s t ,U,65,s u r r o g a t e,wetnurse{SPACE},9733,1,1427,surrogate{SPACE},2380,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,67,G a r n e r ,U,66,T h o r e a u,{SHIFT}Thoreau{SPACE},8827,1,862,{SHIFT}Thoreau{SPACE},2440,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,7,B o w i e,U,67,t i c,tic{SPACE},5003,1,1030,tic{SPACE},1861,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,33,S h a k e s p e a r e,U,68,t s u n a m i,tsunami{SPACE},8516,1,932,tsunami{SPACE},3050,1,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,62,g r a t e,U,69,T u r i n g ,,0,4,6757,{SHIFT}Turing{SPACE},2045,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,49,i n v a r i a b l e ,U,70,W a t s o n ,,0,2,1107,{SHIFT}Watson{SPACE},1738,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,11,H o u s t o n,U,71,W a y n e,,0,4,1871,{SHIFT}Wayne{SPACE},1865,0,0,,,,,,,,
PrimeFlash,2PrimeFlash,2,S2,50,M a d a g a s c a r ,U,72,Y e l l o w s t o n e,{SHIFT}Yellowstone{SPACE},6989,1,915,{SHIFT}Yellow{SHIFT}stone{SPACE},3625,1,0,,,,,,,,
PrimeFlash,3PrimeFlash,3,S3,76,r e s i g n ,R,1,a b d i c a t e ,,0,3,2213,abdicate{SPACE},2070,0,0,,,,,,,,
PrimeFlash,3PrimeFlash,3,S3,23,n a t i v e ,R,2,a b o r i g i n e,indegin,8239,4,3267,aborigine{SPACE},2667,0,0,,,,,,,,
PrimeFlash,3PrimeFlash,3,S3,14,r e f u s e ,R,3,a b s t a i n,refuse{SPACE},7830,1,1158,abstain{SPACE},1813,0,1,,,,,,,,
PrimeFlash,3PrimeFlash,3,S3,12,c o n d o n e,R,4,a d v o c a t e ,agree{SPACE},9733,3,4179,advocate{SPACE},1889,0,0,,,,,,,,
PrimeFlash,3PrimeFlash,3,S3,15,B r o n t e ,R,5,A l c o t t ,bronte{SPACE},5128,1,3659,alcott{SPACE},2124,0,1,,,,,,,,
PrimeFlash,3PrimeFlash,3,S3,70,m i s p l a c e ,R,6,a n a c h r o n i s m,,0,3,4186,anachronism{SPACE},3217,0,0,,,,,,,,
